campaign,url,timestamp,contentRelevance,timeRelevance,vote,comment
"worldcup2014","http://www.hubnews.de:80/tag/social-media",2012-07-29T23:39:22,0.063018,0.000349,NotRelevant,""
"worldcup2014","http://www.kinderlampenland.de:80/fuer-kleine-gaertner/kinder-gartenset-froehliche-tupfen.html",2012-08-19T12:20:32,0.012011,0.000480,NotRelevant,""
"worldcup2014","http://www.peperkorn-online.de:80/reisen.phtml?hashID=dfd9aca04ea0dc101ce41e21bf70e187",2007-05-19T04:40:27,0.027463,0.000000,NotRelevant,""
"worldcup2014","http://www.sellerforum.de:80/viewtopic.php?f=56&t=3978",2008-08-22T09:25:25,0.042208,0.000000,Unknown,""
"worldcup2014","http://www.asc-schoeppingen.de/index.php?view=article&catid=49%3Ahistorie-oberliga&id=206%3Adie-aufstiegsrunde-zur-2-bundesliga&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=138",2012-05-26T05:32:24,0.119353,0.000179,NotRelevant,""
"worldcup2014","http://einestages.spiegel.de/static/authoralbumbackground/2183/abpfiff_am_ende_der_welt.html",2013-05-25T15:16:02,0.129042,0.000000,NotRelevant,""
"worldcup2014","http://www.wettexplorer.de:80/seite-mappe/",2008-08-26T04:42:46,0.153458,0.000000,NotRelevant,""
"worldcup2014","http://www.klamm.de:80/news/formel-1-verunglueckte-marussia-testfahrerin-maria-de-villota-verliert-auge-8N969841.html",2012-08-15T08:49:02,0.063207,0.000284,NotRelevant,""
"worldcup2014","http://teleschach.de:80/forum/shistory.htm",2005-04-03T11:34:49,0.125794,0.000000,NotRelevant,""
"worldcup2014","http://www.badische-zeitung.de:80/f-wm",2012-04-19T15:39:03,0.167989,0.000006,Relevant,""
"worldcup2014","http://www.sport1.de:80/de/fussball/fussball_dfbteam/newspage_575473.html",2012-07-24T03:45:54,0.104873,0.000236,NotRelevant,""
"worldcup2014","http://www.tsv.sportticket-kartenservice.de:80/tsv_g%FCnstig.html",2005-03-08T18:06:20,0.175391,0.000000,Unknown,""
"worldcup2014","http://saxwelt.de:80/index.php/en/geschichte-mainmenu-36/conn-mainmenu-145.html",2012-01-02T03:39:11,0.045604,0.000000,NotRelevant,""
"worldcup2014","http://www.max-planck-innovation.de/de/aktuelles/newsletter/letter.php?id=578",2010-11-25T01:15:07,0.044201,0.000000,NotRelevant,""
"worldcup2014","http://mosbach.de:80/url.php?/page/2215",2004-01-31T18:15:01,0.024679,0.000000,NotRelevant,""
"worldcup2014","http://www.peterpues.de:80/F1.htm",2004-12-07T07:15:31,0.166358,0.000000,NotRelevant,""
"worldcup2014","http://www.zazzle.de:80/liebe_i_sushi_magnet-147133036344678597",2012-10-13T02:56:39,0.022770,0.000000,NotRelevant,""
