campaign,url,timestamp,contentRelevance,timeRelevance,vote,comment
"solympics2012","http://www.vcbottrop90.de:80/beach/news.html",2008-09-14T05:15:13,0.107752,0.000000,NotRelevant,""
"solympics2012","http://www.steeple.de:80/news/news14.html",2000-09-18T11:39:43,0.122129,0.000000,NotRelevant,""
"solympics2012","http://www.blickpunkt-brandenburg.de/mm/blogs/der-randstreifen.html?tx_t3blog_pi1%5BblogList%5D%5BshowUid%5D=254&tx_t3blog_pi1%5BblogList%5D%5Byear%5D=2012&tx_t3blog_pi1%5BblogList%5D%5Bmonth%5D=07&tx_t3blog_pi1%5BblogList%5D%5Bday%5D=13",2013-06-03T18:18:37,0.045139,0.000000,NotRelevant,""
"solympics2012","http://singles.freenet.de:80/728074.html",2007-01-04T06:41:33,0.013389,0.000000,NotRelevant,""
"solympics2012","http://www.ein-herz-fuer-kinder.de/EHFK/deutsch/Projekte/Weltweit/Osteuropa/Polen/20120202-franciszek/herzfehler.html",2013-04-16T00:35:13,0.053469,0.189465,NotRelevant,""
"solympics2012","http://www.volleyballer.de/Paralympics-volleyball_kategorie_118.html",2012-10-01T15:48:56,0.148994,0.276022,Relevant,""
"solympics2012","http://www.zalando.de:80/mcgregor-murray-lexton-daunenjacke-light-brown-mc222g004-701.html",2012-09-15T01:10:54,0.026427,0.193900,NotRelevant,""
"solympics2012","http://www.lz.de/home/themenseite/olympia_2012/",2012-10-10T04:51:25,0.162377,0.056608,HighlyRelevant,""
"solympics2012","http://www.presse-suche.de:80/web2/search/mostwanted/RESULT_olympisches.asp",2004-09-12T01:31:23,0.144547,0.000000,NotRelevant,""
"solympics2012","http://www.seniorennet.de:80/muenchen/chronik/sntageaugusti.htm",2002-12-28T15:42:16,0.074089,0.000000,NotRelevant,""
"solympics2012","http://olympia.de:80/tag/olympische-spiele/",2012-08-08T19:08:53,0.156526,1.000000,HighlyRelevant,""
"solympics2012","http://www.ad-hoc-news.de:80/index.html?section=Politik-News&art_id=17515678&lang=de",2008-06-15T00:45:33,0.038015,0.000000,NotRelevant,""
"solympics2012","http://www.reya.de:80/start.php?start=artikel&dir=service&index=59",2005-05-11T16:47:33,0.115988,0.000000,NotRelevant,""
"solympics2012","http://www.fesa.de:80/fesa_verein/frames.htm",2004-10-16T22:45:03,0.003023,0.000000,NotRelevant,""
"solympics2012","http://www.bild.de/sport/olympia-2012-london/olympia-2012/badminton-damen-wollen-bei-olympia-absichtlich-verlieren-25433378.bild.html",2012-08-02T03:57:38,0.132894,1.000000,Unknown,"page is not displayed"
"solympics2012","http://www.galilei.schulnetz.hamm.de:80/aksa/revue/97/jahr97.htm",2002-11-07T17:40:12,0.107596,0.000000,NotRelevant,""
"solympics2012","http://www.dooyoo.de:80/tintenstrahldrucker/seriell/",2006-03-29T06:59,0.023497,0.000000,NotRelevant,""
"solympics2012","http://www.esexy-news.de:80/tag/paris/",2009-12-31T16:47:25,0.087322,0.000001,NotRelevant,""
"solympics2012","http://www.kultur-vollzug.de:80/article-33067/2012/07/08/kuenstler-kooperation-thiemann--partenheimer-alte-schlauche-in-raum-und-im-foto-eine-geduldsuberdehnung/",2012-07-18T23:20:23,0.048541,1.000000,NotRelevant,""
"solympics2012","http://www.sportal.de:80/analyse-des-em-halbfinales-prandellis-italien-taktik-gewinnt-gegen-loews-deutschland-taktik-1-2012062922882600000",2012-09-01T16:27:12,0.111412,1.000000,NotRelevant,""
"solympics2012","http://www.blv-sport.de/index.php?id=35",2012-08-05T22:28:17,0.132141,1.000000,Relevant,""
"solympics2012","http://www.xboxfront.de:80/news-32-16858-News.html",2010-01-09T15:23:50,0.068713,0.000003,NotRelevant,""
"solympics2012","http://web355.xps8.microserver.de:80/soean/dewiki/index.php/Reimagent",2008-02-19T18:39:19,0.024892,0.000000,Junk,""
"solympics2012","http://blog.stylebook.de:80/page/6/",2012-01-14T17:34:26,0.070794,0.092569,Unknown,"not displayed"
"solympics2012","http://home.mobile.de:80/AUTOHOFWERNE",2012-07-26T18:27:45,0.030691,0.000000,NotRelevant,""
"solympics2012","http://www.dosb.de/de/start/2011/na/2011/?type=player&tx_ttnews%5Bmonth%5D=01&cHash=8fd0d2ab83c8bc1d99e5beeafd71b6d6",2012-08-02T21:50:17,0.107916,1.000000,Relevant,""
"solympics2012","http://dino-storm.browsergames-testen.de/",2012-10-31T08:37:28,0.066942,0.025383,NotRelevant,""
"solympics2012","http://www.bauergroup.de:80/en/support/druckluftlexikon/h01.php",2006-10-16T01:59,0.006273,0.000000,NotRelevant,""
